Date,Close/Last,Volume,Open,High,Low
03/06/2019,$345.15,107,$347,$347.3,$345.15
03/05/2019,$348.09,300,$349,$350.4,$348.05
03/04/2019,$349.35,275,$352.8,$352.8,$346.82
03/01/2019,$349.73,898,$348.98,$349.73,$346.91
02/28/2019,$343.56,212,$343.81,$345,$343.56
02/27/2019,$344.77,46,$345.05,$345.05,$342.75
02/26/2019,$346.96,1907,$343.05,$347.46,$343.05
02/25/2019,$342.5,117,$344.7,$345.9,$342.45
02/22/2019,$338.39,572,$337.25,$340.5,$337.25
02/21/2019,$335,99,$336.2,$337.9,$335
02/20/2019,$335.42,391,$337.4,$338.5,$335.42
02/19/2019,$338.5,377,$333.93,$339.08,$333.2
02/15/2019,$333.7,70,$334.94,$334.94,$333.7
02/14/2019,$330.83,356,$332.3,$332.3,$328.29
02/13/2019,$334,5728,$335.95,$335.95,$330.94
02/12/2019,$334.325,397,$332.9,$334.96,$332.15
02/11/2019,$324,747,$324.94,$327.01,$323.74
02/08/2019,$323.43,311,$319.8,$323.43,$319.8
02/07/2019,$323.01,935,$323.9,$323.9,$320.39
02/06/2019,$327.61,320,$327.475,$328.35,$325.63
02/05/2019,$331.14,161,$329,$333.21,$329
02/04/2019,$324.82,884,$322.7,$324.82,$320.65
02/01/2019,$325.9,294,$325.85,$327.65,$323.85
01/31/2019,$321,625,$316.3,$321,$316.3
01/30/2019,$319.88,2392,$317.5,$320.64,$315.2
01/29/2019,$296,377,$298.05,$318.71,$295
01/28/2019,$294.1,375,$296.3,$296.46,$294.1
01/25/2019,$298.96,864,$295.8,$299.65,$295.8
01/24/2019,$290.22,160,$291.15,$294.17,$290.22
01/23/2019,$293.43,1601,$292.95,$294.71,$291.32
01/22/2019,$288.64,452,$291.83,$292.91,$288.64
01/18/2019,$289.4,955,$288.05,$289.5,$285.51
01/17/2019,$281,1100,$280.9,$284.08,$279
01/16/2019,$284.69,619,$284.653,$285.08,$282.34
01/15/2019,$285.3,2569,$286.2,$287.675,$285.3
01/14/2019,$287.1,436,$289.3,$289.3,$287.1
01/11/2019,$294.29,986,$295.4,$297.75,$294.27
